code,name,UNFCCC
DZA,Algeria,yes
LIE,Liechtenstein,yes
EGY,Egypt Arab Rep.,yes
BGD,Bangladesh,yes
NER,Niger,yes
NAM,Namibia,yes
VEN,Venezuela RB,yes
BGR,Bulgaria,yes
BOL,Bolivia,yes
GHA,Ghana,yes
PAK,Pakistan,yes
CPV,Cape Verde,yes
JOR,Jordan,yes
MYS,Malaysia,yes
PRI,Puerto Rico,no
MYT,Mayotte,no
PRK,Korea Dem. Rep.,yes
TZA,Tanzania,yes
BWA,Botswana,yes
KHM,Cambodia,yes
NIC,Nicaragua,yes
ETH,Ethiopia,yes
PRY,Paraguay,yes
HKG,Hong Kong SAR China,no
SAU,Saudi Arabia,yes
LBN,Lebanon,yes
SVN,Slovenia,yes
BFA,Burkina Faso,yes
CHE,Switzerland,yes
MRT,Mauritania,yes
CHI,Channel Islands,no
CHL,Chile,yes
CHN,China,yes
KNA,St. Kitts and Nevis,yes
SLE,Sierra Leone,yes
JAM,Jamaica,yes
SMR,San Marino,yes
GIB,Gibraltar,no
DJI,Djibouti,yes
GIN,Guinea,yes
FIN,Finland,yes
URY,Uruguay,yes
THA,Thailand,yes
SYC,Seychelles,yes
NPL,Nepal,yes
LAO,Lao PDR,yes
YEM,Yemen Rep.,yes
PHL,Philippines,yes
ZAF,South Africa,yes
KIR,Kiribati,yes
VIR,Virgin Islands (U.S.),no
SYR,Syrian Arab Republic,yes
MAC,Macao SAR China,no
MAF,St. Martin (French part),no
MLT,Malta,yes
KAZ,Kazakhstan,yes
TCA,Turks and Caicos Islands,no
ZAR,Congo Dem. Rep.,yes
PYF,French Polynesia,no
NIU,Niue,yes
DMA,Dominica,yes
KSV,Kosovo,no
BEN,Benin,yes
NGA,Nigeria,yes
BEL,Belgium,yes
TGO,Togo,yes
DEU,Germany,yes
GUM,Guam,no
LKA,Sri Lanka,yes
GBR,United Kingdom,yes
GUY,Guyana,yes
CRI,Costa Rica,yes
CMR,Cameroon,yes
MAR,Morocco,yes
ROM,Romania,yes
MNP,Northern Mariana Islands,no
LSO,Lesotho,yes
HUN,Hungary,yes
TKM,Turkmenistan,yes
VCT,St. Vincent and the Grenadines,yes
TTO,Trinidad and Tobago,yes
NLD,Netherlands,yes
BMU,Bermuda,no
TCD,Chad,yes
GEO,Georgia,yes
MNE,Montenegro,yes
MNG,Mongolia,yes
MHL,Marshall Islands,yes
BLZ,Belize,yes
BDI,Burundi,yes
BLR,Belarus,yes
GRD,Grenada,yes
GRC,Greece,yes
GRL,Greenland,no
ZWE,Zimbabwe,yes
MOZ,Mozambique,yes
TJK,Tajikistan,yes
HTI,Haiti,yes
MEX,Mexico,yes
LCA,St. Lucia,yes
IND,India,yes
LVA,Latvia,yes
BTN,Bhutan,yes
VNM,Vietnam,yes
NOR,Norway,yes
CZE,Czech Republic,yes
TMP,Timor-Leste,yes
ATG,Antigua and Barbuda,yes
FJI,Fiji,yes
HND,Honduras,yes
MUS,Mauritius,yes
DOM,Dominican Republic,yes
LUX,Luxembourg,yes
ISR,Israel,yes
FSM,Micronesia Fed. Sts.,yes
PER,Peru,yes
SXM,Sint Maarten (Dutch part),no
IDN,Indonesia,yes
VUT,Vanuatu,yes
SUR,Suriname,yes
COG,Congo Rep.,yes
ISL,Iceland,yes
COK,Cook Islands,yes
COM,Comoros,yes
COL,Colombia,yes
PRT,Portugal,yes
MDA,Moldova,yes
STP,Sao Tome and Principe,yes
MDG,Madagascar,yes
ECU,Ecuador,yes
SEN,Senegal,yes
MDV,Maldives,yes
ASM,American Samoa,no
CUW,Curacao,no
FRA,France,yes
LTU,Lithuania,yes
RWA,Rwanda,yes
ZMB,Zambia,yes
GMB,Gambia The,yes
FRO,Faeroe Islands,no
GTM,Guatemala,yes
DNK,Denmark,yes
UKR,Ukraine,yes
AUS,Australia,yes
AUT,Austria,yes
IMY,Isle of Man,no
ADO,Andorra,no
PLW,Palau,yes
KEN,Kenya,yes
WSM,Samoa,yes
TUR,Turkey,yes
ALB,Albania,yes
TUV,Tuvalu,yes
ITA,Italy,yes
TUN,Tunisia,yes
RUS,Russian Federation,yes
BRB,Barbados,yes
BRA,Brazil,yes
CIV,Cote d'Ivoire,yes
SRB,Serbia,yes
MKD,Macedonia FYR,yes
USA,United States,yes
QAT,Qatar,yes
SWE,Sweden,yes
AZE,Azerbaijan,yes
GNB,Guinea-Bissau,yes
WBG,West Bank and Gaza,no
SWZ,Swaziland,yes
TON,Tonga,yes
CAN,Canada,yes
KOR,Korea Rep.,yes
CAF,Central African Republic,yes
SVK,Slovak Republic,yes
BIH,Bosnia and Herzegovina,yes
SGP,Singapore,yes
UZB,Uzbekistan,yes
ERI,Eritrea,yes
POL,Poland,yes
GAB,Gabon,yes
CYM,Cayman Islands,no
EST,Estonia,yes
MWI,Malawi,yes
ESP,Spain,yes
SLV,El Salvador,yes
MLI,Mali,yes
IRL,Ireland,yes
IRN,Iran Islamic Rep.,yes
ABW,Aruba,no
PNG,Papua New Guinea,yes
PAN,Panama,yes
SDN,Sudan,yes
SLB,Solomon Islands,yes
NZL,New Zealand,yes
MCO,Monaco,yes
JPN,Japan,yes
KGZ,Kyrgyz Republic,yes
UGA,Uganda,yes
NCL,New Caledonia,no
ARE,United Arab Emirates,yes
ARG,Argentina,yes
BHS,Bahamas The,yes
BHR,Bahrain,yes
ARM,Armenia,yes
NRU,Nauru,yes
CUB,Cuba,yes
